Land,X,Y,Point_ID
Adventureland,287,604,0
Adventureland,364,575,1
Adventureland,409,534,2
Adventureland,423,471,3
Adventureland,463,459,4
Adventureland,539,444,5
Adventureland,595,442,6
Adventureland,617,449,7
Adventureland,645,474,8
Adventureland,657,515,9
Adventureland,660,551,10
Adventureland,660,593,11
Adventureland,655,625,12
Adventureland,637,653,13
Adventureland,623,703,14
Adventureland,615,720,15
Adventureland,517,713,16
Adventureland,427,702,17
Adventureland,359,670,18
"Main Street, U.S.A.",615,722,0
"Main Street, U.S.A.",637,653,1
"Main Street, U.S.A.",658,622,2
"Main Street, U.S.A.",658,530,3
"Main Street, U.S.A.",646,485,4
"Main Street, U.S.A.",639,462,5
"Main Street, U.S.A.",637,435,6
"Main Street, U.S.A.",679,401,7
"Main Street, U.S.A.",704,385,8
"Main Street, U.S.A.",729,380,9
"Main Street, U.S.A.",745,374,10
"Main Street, U.S.A.",780,383,11
"Main Street, U.S.A.",814,410,12
"Main Street, U.S.A.",827,437,13
"Main Street, U.S.A.",837,461,14
"Main Street, U.S.A.",837,475,15
"Main Street, U.S.A.",842,513,16
"Main Street, U.S.A.",830,581,17
"Main Street, U.S.A.",841,604,18
"Main Street, U.S.A.",857,616,19
"Main Street, U.S.A.",870,632,20
"Main Street, U.S.A.",893,664,21
"Main Street, U.S.A.",901,695,22
"Main Street, U.S.A.",913,725,23
"Main Street, U.S.A.",907,751,24
"Main Street, U.S.A.",871,765,25
"Main Street, U.S.A.",826,780,26
"Main Street, U.S.A.",764,797,27
"Main Street, U.S.A.",721,797,28
"Main Street, U.S.A.",676,782,29
"Main Street, U.S.A.",641,761,30
"Main Street, U.S.A.",626,749,31
"Main Street, U.S.A.",616,738,32
Tomorrowland,810,395,0
Tomorrowland,892,366,1
Tomorrowland,1014,365,2
Tomorrowland,1081,355,3
Tomorrowland,1143,337,4
Tomorrowland,1202,331,5
Tomorrowland,1247,340,6
Tomorrowland,1265,361,7
Tomorrowland,1266,402,8
Tomorrowland,1265,430,9
Tomorrowland,1265,453,10
Tomorrowland,1255,479,11
Tomorrowland,1220,535,12
Tomorrowland,1186,575,13
Tomorrowland,1160,611,14
Tomorrowland,1138,637,15
Tomorrowland,1098,668,16
Tomorrowland,1072,693,17
Tomorrowland,1028,716,18
Tomorrowland,967,733,19
Tomorrowland,933,746,20
Tomorrowland,907,749,21
Tomorrowland,912,724,22
Tomorrowland,890,661,23
Tomorrowland,859,618,24
Tomorrowland,843,607,25
Tomorrowland,829,583,26
Tomorrowland,834,547,27
Tomorrowland,842,514,28
Tomorrowland,837,464,29
Tomorrowland,829,441,30
Tomorrowland,820,420,31
New Orleans Square,120,437,0
New Orleans Square,175,414,1
New Orleans Square,217,409,2
New Orleans Square,252,427,3
New Orleans Square,286,464,4
New Orleans Square,314,485,5
New Orleans Square,342,488,6
New Orleans Square,378,486,7
New Orleans Square,406,481,8
New Orleans Square,424,473,9
New Orleans Square,410,531,10
New Orleans Square,365,574,11
New Orleans Square,316,594,12
New Orleans Square,287,604,13
Bayou Country,119,438,0
Bayou Country,21,433,1
Bayou Country,17,410,2
Bayou Country,13,349,3
Bayou Country,33,332,4
Bayou Country,76,332,5
Bayou Country,106,325,6
Bayou Country,142,308,7
Bayou Country,168,304,8
Bayou Country,178,304,9
Bayou Country,188,316,10
Bayou Country,192,326,11
Bayou Country,197,337,12
Bayou Country,209,343,13
Bayou Country,236,355,14
Bayou Country,252,372,15
Bayou Country,269,386,16
Bayou Country,278,394,17
Bayou Country,278,406,18
Bayou Country,271,410,19
Bayou Country,257,399,20
Bayou Country,244,394,21
Bayou Country,224,394,22
Bayou Country,218,399,23
Bayou Country,218,405,24
Bayou Country,206,411,25
Bayou Country,174,414,26
Star Wars: Galaxy's Edge,34,330,0
Star Wars: Galaxy's Edge,64,258,1
Star Wars: Galaxy's Edge,103,166,2
Star Wars: Galaxy's Edge,182,105,3
Star Wars: Galaxy's Edge,180,89,4
Star Wars: Galaxy's Edge,202,84,5
Star Wars: Galaxy's Edge,232,86,6
Star Wars: Galaxy's Edge,254,74,7
Star Wars: Galaxy's Edge,280,72,8
Star Wars: Galaxy's Edge,302,69,9
Star Wars: Galaxy's Edge,324,64,10
Star Wars: Galaxy's Edge,332,52,11
Star Wars: Galaxy's Edge,337,58,12
Star Wars: Galaxy's Edge,361,59,13
Star Wars: Galaxy's Edge,385,59,14
Star Wars: Galaxy's Edge,407,55,15
Star Wars: Galaxy's Edge,419,53,16
Star Wars: Galaxy's Edge,427,52,17
Star Wars: Galaxy's Edge,435,58,18
Star Wars: Galaxy's Edge,444,26,19
Star Wars: Galaxy's Edge,458,47,20
Star Wars: Galaxy's Edge,484,48,21
Star Wars: Galaxy's Edge,515,45,22
Star Wars: Galaxy's Edge,529,53,23
Star Wars: Galaxy's Edge,557,64,24
Star Wars: Galaxy's Edge,567,68,25
Star Wars: Galaxy's Edge,577,88,26
Star Wars: Galaxy's Edge,578,108,27
Star Wars: Galaxy's Edge,588,124,28
Star Wars: Galaxy's Edge,594,137,29
Star Wars: Galaxy's Edge,594,145,30
Star Wars: Galaxy's Edge,590,151,31
Star Wars: Galaxy's Edge,580,159,32
Star Wars: Galaxy's Edge,566,171,33
Star Wars: Galaxy's Edge,555,185,34
Star Wars: Galaxy's Edge,536,198,35
Star Wars: Galaxy's Edge,518,210,36
Star Wars: Galaxy's Edge,494,216,37
Star Wars: Galaxy's Edge,451,220,38
Star Wars: Galaxy's Edge,412,216,39
Star Wars: Galaxy's Edge,392,215,40
Star Wars: Galaxy's Edge,368,213,41
Star Wars: Galaxy's Edge,350,206,42
Star Wars: Galaxy's Edge,330,203,43
Star Wars: Galaxy's Edge,309,201,44
Star Wars: Galaxy's Edge,286,199,45
Star Wars: Galaxy's Edge,265,199,46
Star Wars: Galaxy's Edge,241,205,47
Star Wars: Galaxy's Edge,230,208,48
Star Wars: Galaxy's Edge,213,215,49
Star Wars: Galaxy's Edge,183,232,50
Star Wars: Galaxy's Edge,176,245,51
Star Wars: Galaxy's Edge,167,253,52
Star Wars: Galaxy's Edge,171,262,53
Star Wars: Galaxy's Edge,171,273,54
Star Wars: Galaxy's Edge,173,286,55
Star Wars: Galaxy's Edge,173,294,56
Star Wars: Galaxy's Edge,175,299,57
Star Wars: Galaxy's Edge,178,304,58
Star Wars: Galaxy's Edge,168,304,59
Star Wars: Galaxy's Edge,153,306,60
Star Wars: Galaxy's Edge,128,314,61
Star Wars: Galaxy's Edge,115,321,62
Star Wars: Galaxy's Edge,96,328,63
Star Wars: Galaxy's Edge,79,330,64
Star Wars: Galaxy's Edge,61,332,65
Star Wars: Galaxy's Edge,44,333,66
Fronteirland,216,409,0
Fronteirland,219,393,1
Fronteirland,231,394,2
Fronteirland,240,394,3
Fronteirland,251,396,4
Fronteirland,261,400,5
Fronteirland,267,407,6
Fronteirland,272,408,7
Fronteirland,276,407,8
Fronteirland,278,402,9
Fronteirland,278,395,10
Fronteirland,272,389,11
Fronteirland,250,368,12
Fronteirland,234,354,13
Fronteirland,197,337,14
Fronteirland,191,326,15
Fronteirland,187,315,16
Fronteirland,181,308,17
Fronteirland,173,298,18
Fronteirland,173,288,19
Fronteirland,169,262,20
Fronteirland,166,253,21
Fronteirland,177,244,22
Fronteirland,183,231,23
Fronteirland,206,217,24
Fronteirland,240,202,25
Fronteirland,280,198,26
Fronteirland,336,204,27
Fronteirland,382,214,28
Fronteirland,418,218,29
Fronteirland,427,216,30
Fronteirland,460,221,31
Fronteirland,495,213,32
Fronteirland,497,225,33
Fronteirland,504,237,34
Fronteirland,519,233,35
Fronteirland,544,229,36
Fronteirland,559,231,37
Fronteirland,591,242,38
Fronteirland,598,251,39
Fronteirland,607,267,40
Fronteirland,616,288,41
Fronteirland,622,307,42
Fronteirland,622,328,43
Fronteirland,612,344,44
Fronteirland,601,354,45
Fronteirland,596,366,46
Fronteirland,596,390,47
Fronteirland,608,399,48
Fronteirland,617,411,49
Fronteirland,628,423,50
Fronteirland,635,434,51
